K-Iteration,Neighbours,Components,Accuracy
0,1,1,0.22857142857142856
1,1,1,0.255
2,1,1,0.2292857142857143
0,3,1,0.25214285714285717
1,3,1,0.2835714285714286
2,3,1,0.24357142857142858
0,5,1,0.2621428571428571
1,5,1,0.2892857142857143
2,5,1,0.2571428571428571
0,7,1,0.26571428571428574
1,7,1,0.285
2,7,1,0.2742857142857143
0,9,1,0.26857142857142857
1,9,1,0.2978571428571429
2,9,1,0.26071428571428573
0,11,1,0.26857142857142857
1,11,1,0.29714285714285715
2,11,1,0.2664285714285714
0,13,1,0.2714285714285714
1,13,1,0.29928571428571427
2,13,1,0.2764285714285714
0,15,1,0.27785714285714286
1,15,1,0.3007142857142857
2,15,1,0.26785714285714285
0,25,1,0.2835714285714286
1,25,1,0.3007142857142857
2,25,1,0.2714285714285714
0,35,1,0.2914285714285714
1,35,1,0.315
2,35,1,0.275
0,45,1,0.29642857142857143
1,45,1,0.3078571428571429
2,45,1,0.27
0,55,1,0.2864285714285714
1,55,1,0.3157142857142857
2,55,1,0.28214285714285714
0,65,1,0.28785714285714287
1,65,1,0.3171428571428571
2,65,1,0.2835714285714286
0,75,1,0.28714285714285714
1,75,1,0.3107142857142857
2,75,1,0.2785714285714286
0,85,1,0.2842857142857143
1,85,1,0.3142857142857143
2,85,1,0.28285714285714286
0,95,1,0.28214285714285714
1,95,1,0.3057142857142857
2,95,1,0.2735714285714286
0,1,2,0.37285714285714283
1,1,2,0.4014285714285714
2,1,2,0.38
0,3,2,0.38642857142857145
1,3,2,0.4142857142857143
2,3,2,0.3892857142857143
0,5,2,0.415
1,5,2,0.43142857142857144
2,5,2,0.41285714285714287
0,7,2,0.43357142857142855
1,7,2,0.445
2,7,2,0.42642857142857143
0,9,2,0.4407142857142857
1,9,2,0.4614285714285714
2,9,2,0.43142857142857144
0,11,2,0.43857142857142856
1,11,2,0.46285714285714286
2,11,2,0.4235714285714286
0,13,2,0.43714285714285717
1,13,2,0.4642857142857143
2,13,2,0.43
0,15,2,0.4421428571428571
1,15,2,0.4664285714285714
2,15,2,0.44
0,25,2,0.445
1,25,2,0.4685714285714286
2,25,2,0.45
0,35,2,0.4585714285714286
1,35,2,0.48142857142857143
2,35,2,0.45285714285714285
0,45,2,0.4564285714285714
1,45,2,0.47285714285714286
2,45,2,0.455
0,55,2,0.4657142857142857
1,55,2,0.4757142857142857
2,55,2,0.4514285714285714
0,65,2,0.4707142857142857
1,65,2,0.4764285714285714
2,65,2,0.4592857142857143
0,75,2,0.4714285714285714
1,75,2,0.47714285714285715
2,75,2,0.46
0,85,2,0.47214285714285714
1,85,2,0.47285714285714286
2,85,2,0.46285714285714286
0,95,2,0.47214285714285714
1,95,2,0.47285714285714286
2,95,2,0.4614285714285714
0,1,3,0.4307142857142857
1,1,3,0.475
2,1,3,0.43785714285714283
0,3,3,0.46214285714285713
1,3,3,0.4878571428571429
2,3,3,0.46714285714285714
0,5,3,0.49714285714285716
1,5,3,0.5157142857142857
2,5,3,0.48928571428571427
0,7,3,0.5092857142857142
1,7,3,0.5285714285714286
2,7,3,0.49357142857142855
0,9,3,0.5028571428571429
1,9,3,0.54
2,9,3,0.5057142857142857
0,11,3,0.5085714285714286
1,11,3,0.5342857142857143
2,11,3,0.5071428571428571
0,13,3,0.5171428571428571
1,13,3,0.5407142857142857
2,13,3,0.5085714285714286
0,15,3,0.5164285714285715
1,15,3,0.5478571428571428
2,15,3,0.5142857142857142
0,25,3,0.5271428571428571
1,25,3,0.5457142857142857
2,25,3,0.5257142857142857
0,35,3,0.5271428571428571
1,35,3,0.5414285714285715
2,35,3,0.5257142857142857
0,45,3,0.5228571428571429
1,45,3,0.5414285714285715
2,45,3,0.5135714285714286
0,55,3,0.5285714285714286
1,55,3,0.545
2,55,3,0.5257142857142857
0,65,3,0.5314285714285715
1,65,3,0.5414285714285715
2,65,3,0.5128571428571429
0,75,3,0.5357142857142857
1,75,3,0.54
2,75,3,0.5214285714285715
0,85,3,0.5378571428571428
1,85,3,0.5385714285714286
2,85,3,0.525
0,95,3,0.5421428571428571
1,95,3,0.5385714285714286
2,95,3,0.5185714285714286
0,1,4,0.5828571428571429
1,1,4,0.5671428571428572
2,1,4,0.5785714285714286
0,3,4,0.6042857142857143
1,3,4,0.6021428571428571
2,3,4,0.5871428571428572
0,5,4,0.6342857142857142
1,5,4,0.6228571428571429
2,5,4,0.61
0,7,4,0.6342857142857142
1,7,4,0.6264285714285714
2,7,4,0.6221428571428571
0,9,4,0.6507142857142857
1,9,4,0.63
2,9,4,0.6235714285714286
0,11,4,0.6414285714285715
1,11,4,0.6242857142857143
2,11,4,0.6328571428571429
0,13,4,0.6407142857142857
1,13,4,0.6328571428571429
2,13,4,0.6228571428571429
0,15,4,0.65
1,15,4,0.6478571428571429
2,15,4,0.6314285714285715
0,25,4,0.6628571428571428
1,25,4,0.6371428571428571
2,25,4,0.6314285714285715
0,35,4,0.6564285714285715
1,35,4,0.6357142857142857
2,35,4,0.635
0,45,4,0.6557142857142857
1,45,4,0.63
2,45,4,0.625
0,55,4,0.6414285714285715
1,55,4,0.6371428571428571
2,55,4,0.62
0,65,4,0.6478571428571429
1,65,4,0.6314285714285715
2,65,4,0.62
0,75,4,0.6407142857142857
1,75,4,0.6192857142857143
2,75,4,0.6207142857142857
0,85,4,0.6385714285714286
1,85,4,0.6207142857142857
2,85,4,0.6135714285714285
0,95,4,0.6321428571428571
1,95,4,0.6228571428571429
2,95,4,0.6142857142857143
0,1,5,0.66
1,1,5,0.6714285714285714
2,1,5,0.6578571428571428
