Neighbours,Components,Average Accuracy
1,1,0.23761904761904762
3,1,0.2597619047619048
5,1,0.2695238095238095
7,1,0.27499999999999997
9,1,0.27571428571428575
11,1,0.27738095238095234
13,1,0.2823809523809524
15,1,0.2821428571428571
25,1,0.28523809523809524
35,1,0.2938095238095238
45,1,0.2914285714285714
55,1,0.2947619047619047
65,1,0.29619047619047617
75,1,0.29214285714285715
85,1,0.2938095238095238
95,1,0.28714285714285714
1,2,0.3847619047619048
3,2,0.39666666666666667
5,2,0.4197619047619048
7,2,0.435
9,2,0.44452380952380954
11,2,0.4416666666666667
13,2,0.4438095238095238
15,2,0.4495238095238095
25,2,0.45452380952380955
35,2,0.46428571428571425
45,2,0.46142857142857147
55,2,0.46428571428571425
65,2,0.4688095238095238
75,2,0.4695238095238095
85,2,0.4692857142857143
95,2,0.46880952380952384
1,3,0.4478571428571428
3,3,0.47238095238095235
5,3,0.5007142857142858
7,3,0.5104761904761904
9,3,0.5161904761904762
11,3,0.5166666666666666
13,3,0.5221428571428571
15,3,0.5261904761904762
25,3,0.5328571428571429
35,3,0.5314285714285715
45,3,0.5259523809523811
55,3,0.5330952380952381
65,3,0.5285714285714286
75,3,0.5323809523809523
85,3,0.5338095238095238
95,3,0.5330952380952381
1,4,0.5761904761904763
3,4,0.5978571428571429
5,4,0.6223809523809524
7,4,0.6276190476190476
9,4,0.6347619047619047
11,4,0.6328571428571429
13,4,0.6321428571428571
15,4,0.6430952380952382
25,4,0.6438095238095237
35,4,0.6423809523809524
45,4,0.6369047619047619
55,4,0.6328571428571429
65,4,0.6330952380952382
75,4,0.626904761904762
85,4,0.6242857142857142
95,4,0.623095238095238
1,5,0.6630952380952381
3,5,0.6861904761904762
5,5,0.709047619047619
7,5,0.7107142857142857
9,5,0.7226190476190476
11,5,0.7228571428571429
13,5,0.7247619047619048
15,5,0.7223809523809525
25,5,0.7211904761904763
35,5,0.7223809523809525
45,5,0.7216666666666667
55,5,0.7166666666666668
65,5,0.7142857142857144
75,5,0.7145238095238096
85,5,0.7038095238095238
95,5,0.7023809523809524
1,10,0.8626190476190475
3,10,0.8695238095238095
5,10,0.8726190476190476
7,10,0.8742857142857142
9,10,0.8726190476190476
11,10,0.8719047619047618
13,10,0.8692857142857143
15,10,0.8671428571428571
25,10,0.8616666666666667
35,10,0.8580952380952382
45,10,0.8454761904761905
55,10,0.8385714285714285
65,10,0.8354761904761904
75,10,0.829047619047619
85,10,0.8245238095238095
95,10,0.82
1,20,0.9230952380952381
3,20,0.9242857142857144
5,20,0.9269047619047619
7,20,0.9204761904761906
9,20,0.9207142857142857
11,20,0.9204761904761906
13,20,0.9171428571428571
15,20,0.9142857142857143
25,20,0.9066666666666667
35,20,0.8964285714285714
45,20,0.8885714285714285
55,20,0.879047619047619
65,20,0.875
75,20,0.87
85,20,0.8661904761904763
95,20,0.8621428571428571
1,30,0.9273809523809523
3,30,0.9292857142857143
5,30,0.9264285714285715
7,30,0.9261904761904761
9,30,0.9283333333333333
11,30,0.9230952380952381
13,30,0.9202380952380952
15,30,0.9197619047619048
25,30,0.9092857142857143
35,30,0.8976190476190475
45,30,0.8916666666666666
55,30,0.8847619047619047
65,30,0.8773809523809524
75,30,0.8697619047619046
85,30,0.861904761904762
95,30,0.8571428571428572
1,40,0.9273809523809523
3,40,0.9276190476190477
5,40,0.9240476190476189
7,40,0.9254761904761905
9,40,0.9261904761904761
11,40,0.9211904761904762
13,40,0.9183333333333333
15,40,0.9173809523809524
25,40,0.9083333333333333
35,40,0.8945238095238096
45,40,0.8845238095238095
55,40,0.876904761904762
65,40,0.87
75,40,0.8630952380952381
85,40,0.8592857142857143
95,40,0.8497619047619048
1,50,0.9278571428571428
3,50,0.9249999999999999
5,50,0.9233333333333333
7,50,0.9226190476190476
9,50,0.9228571428571429
11,50,0.9192857142857144
13,50,0.9164285714285714
15,50,0.915
25,50,0.900952380952381
35,50,0.8911904761904762
45,50,0.8809523809523809
55,50,0.8745238095238096
65,50,0.8638095238095237
75,50,0.8597619047619047
85,50,0.8542857142857142
95,50,0.8457142857142858
1,70,0.9252380952380953
3,70,0.9216666666666667
5,70,0.9188095238095239
7,70,0.9178571428571428
9,70,0.9176190476190476
11,70,0.9154761904761904
13,70,0.9130952380952381
15,70,0.9107142857142856
25,70,0.8976190476190476
35,70,0.888095238095238
45,70,0.876904761904762
55,70,0.8611904761904762
65,70,0.8564285714285714
75,70,0.8514285714285714
85,70,0.8423809523809523
95,70,0.8347619047619048
1,90,0.9235714285714286
3,90,0.9188095238095239
5,90,0.9183333333333333
7,90,0.9176190476190476
9,90,0.9152380952380952
11,90,0.9123809523809524
13,90,0.9109523809523808
15,90,0.9054761904761904
25,90,0.8938095238095238
35,90,0.8833333333333333
45,90,0.8702380952380953
55,90,0.8595238095238095
65,90,0.8502380952380952
75,90,0.8433333333333333
85,90,0.8333333333333334
95,90,0.8269047619047618
1,100,0.9228571428571429
3,100,0.915
5,100,0.9188095238095237
7,100,0.9154761904761904
9,100,0.9140476190476191
11,100,0.9121428571428573
13,100,0.9073809523809523
15,100,0.9078571428571429
25,100,0.8926190476190475
35,100,0.8823809523809523
45,100,0.8676190476190477
55,100,0.8573809523809524
65,100,0.8476190476190476
75,100,0.8402380952380953
85,100,0.8326190476190476
95,100,0.8264285714285714
