K-Iteration,Neighbours,Components,Accuracy
0,5,1,0.26285714285714284
1,5,1,0.2892857142857143
2,5,1,0.25642857142857145
0,10,1,0.27
1,10,1,0.31142857142857144
2,10,1,0.26571428571428574
0,15,1,0.27785714285714286
1,15,1,0.3007142857142857
2,15,1,0.2692857142857143
0,5,2,0.415
1,5,2,0.43142857142857144
2,5,2,0.41285714285714287
0,10,2,0.44357142857142856
1,10,2,0.45785714285714285
2,10,2,0.425
0,15,2,0.44285714285714284
1,15,2,0.4664285714285714
2,15,2,0.44
0,5,3,0.49714285714285716
1,5,3,0.5157142857142857
2,5,3,0.48928571428571427
0,10,3,0.5085714285714286
1,10,3,0.5414285714285715
2,10,3,0.515
0,15,3,0.5164285714285715
1,15,3,0.5478571428571428
2,15,3,0.5142857142857142
