K-Iteration,Neighbours,Components,Accuracy
0,1,-1,0.9071428571428571
1,1,-1,0.92
2,1,-1,0.9128571428571428
0,3,-1,0.905
1,3,-1,0.9228571428571428
2,3,-1,0.9042857142857142
0,5,-1,0.9078571428571428
1,5,-1,0.9214285714285714
2,5,-1,0.9107142857142857
0,7,-1,0.905
1,7,-1,0.9178571428571428
2,7,-1,0.9064285714285715
0,9,-1,0.9042857142857142
1,9,-1,0.9121428571428571
2,9,-1,0.905
0,11,-1,0.9064285714285715
1,11,-1,0.9085714285714286
2,11,-1,0.8992857142857142
0,13,-1,0.905
1,13,-1,0.905
2,13,-1,0.8914285714285715
0,15,-1,0.9021428571428571
1,15,-1,0.8957142857142857
2,15,-1,0.8871428571428571
0,25,-1,0.8857142857142857
1,25,-1,0.8857142857142857
2,25,-1,0.8728571428571429
0,35,-1,0.87
1,35,-1,0.8764285714285714
2,35,-1,0.855
0,45,-1,0.86
1,45,-1,0.8678571428571429
2,45,-1,0.8407142857142857
0,55,-1,0.8485714285714285
1,55,-1,0.8557142857142858
2,55,-1,0.8285714285714286
0,65,-1,0.8428571428571429
1,65,-1,0.8378571428571429
2,65,-1,0.8242857142857143
0,75,-1,0.8335714285714285
1,75,-1,0.8307142857142857
2,75,-1,0.8121428571428572
0,85,-1,0.8235714285714286
1,85,-1,0.8221428571428572
2,85,-1,0.8035714285714286
0,95,-1,0.8121428571428572
1,95,-1,0.8157142857142857
2,95,-1,0.7928571428571428
